Season	wOBA	wOBAScale	wBB	wHBP	w1B	w2B	w3B	wHR	runSB	runCS	R/PA	R/W	cFIP
2019	0.326	1.151	0.716	0.744	0.894	1.24	1.55	1.938	0.2	-0.472	0.137	11.036	2.81
2018	0.315	1.226	0.69	0.72	0.88	1.247	1.578	2.031	0.2	-0.407	0.117	9.714	3.161
2017	0.321	1.185	0.693	0.723	0.877	1.232	1.552	1.98	0.2	-0.423	0.122	10.048	3.158
2016	0.318	1.212	0.691	0.721	0.878	1.242	1.569	2.015	0.2	-0.41	0.118	9.778	3.147
2015	0.313	1.251	0.687	0.718	0.881	1.256	1.594	2.065	0.2	-0.392	0.113	9.421	3.134
2014	0.31	1.304	0.689	0.722	0.892	1.283	1.635	2.135	0.2	-0.377	0.108	9.117	3.132
2013	0.314	1.277	0.69	0.722	0.888	1.271	1.616	2.101	0.2	-0.384	0.11	9.264	3.048
