"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Pirates","2220","6224","156","682","659","104","8.4 %","20.0 %",".145",".307",".259",".330",".404",".325","108","3.8","61.6","40.0","31.8"
"Dodgers","2163","6231","134","718","686","138","8.3 %","20.0 %",".140",".318",".265",".333",".406",".327","112","-0.4","81.4","17.4","31.5"
"Angels","1929","6284","155","773","729","81","7.8 %","20.1 %",".147",".305",".259",".322",".406",".321","110","1.3","67.3","15.1","30.7"
"Orioles","1901","6130","211","705","681","44","6.5 %","21.0 %",".166",".296",".256",".311",".422",".323","104","-6.2","21.9","34.5","27.3"
"Nationals","1913","6216","152","686","635","101","8.3 %","21.0 %",".140",".303",".253",".321",".393",".317","99","15.3","8.4","46.5","26.7"
"Giants","2140","6087","132","665","636","56","7.0 %","20.5 %",".133",".304",".255",".311",".388",".308","99","0.5","-5.1","54.7","25.6"
"Tigers","1961","6202","155","757","731","106","7.1 %","18.4 %",".150",".319",".277",".331",".426",".331","112","-7.3","73.0","-39.8","25.0"
"Blue Jays","2060","6167","177","723","690","78","8.1 %","18.7 %",".155",".295",".259",".323",".414",".325","107","0.0","44.9","-34.4","22.4"
"Athletics","2003","6245","146","729","686","83","9.4 %","17.7 %",".137",".278",".244",".320",".381",".312","102","11.0","27.2","-30.6","21.2"
"Brewers","2008","6065","150","650","617","102","7.0 %","19.7 %",".147",".293",".250",".311",".397",".313","94","-12.1","-56.2","60.7","20.6"
"Rays","1915","6205","117","612","586","63","8.5 %","18.1 %",".120",".287",".247",".317",".367",".305","97","1.0","-19.9","6.2","19.9"
"Royals","1788","6058","95","651","604","153","6.3 %","16.3 %",".113",".302",".263",".314",".376",".306","92","4.8","-47.8","27.4","18.7"
"Yankees","1786","6082","147","633","591","112","7.4 %","18.6 %",".135",".282",".245",".307",".380",".305","94","3.2","-38.5","13.4","18.2"
"Cardinals","2069","6086","105","619","585","57","7.7 %","18.6 %",".116",".300",".253",".320",".369",".308","95","-15.5","-49.0","26.4","17.7"
"Mets","2135","6145","125","629","602","101","8.4 %","20.6 %",".126",".286",".239",".308",".364",".299","92","-0.4","-56.0","30.5","17.6"
"Red Sox","1733","6226","123","634","601","63","8.6 %","21.5 %",".124",".297",".244",".316",".369",".305","89","-8.1","-83.0","45.6","17.4"
"Mariners","1928","5977","136","634","600","96","6.6 %","20.6 %",".132",".290",".244",".300",".376",".299","94","3.2","-37.5","3.1","16.8"
"Marlins","1963","6185","122","645","614","58","8.1 %","22.9 %",".125",".316",".253",".317",".378",".307","95","-5.6","-42.3","6.7","16.6"
"Rockies","2120","6164","186","755","721","85","6.4 %","20.8 %",".169",".326",".276",".327",".445",".337","97","-12.3","-33.1","-1.9","16.6"
"Cubs","2009","6102","157","614","590","65","7.2 %","24.2 %",".146",".296",".239",".300",".385",".303","91","4.0","-59.5","16.1","15.5"
"Twins","1785","6233","128","715","675","99","8.7 %","21.3 %",".135",".309",".254",".324",".389",".316","100","20.9","23.8","-79.2","15.4"
"Reds","1926","5978","131","595","562","122","6.9 %","20.9 %",".127",".284",".238",".296",".365",".294","83","-1.2","-115.4","67.4","14.6"
"Indians","1860","6222","142","669","644","104","8.1 %","19.1 %",".136",".296",".253",".317",".389",".313","98","9.9","-1.7","-64.6","14.2"
"Astros","1865","6055","163","629","596","122","8.2 %","23.8 %",".141",".298",".242",".309",".383",".308","98","3.6","-8.1","-54.5","14.0"
"Diamondbacks","1958","6089","118","615","573","86","6.5 %","19.1 %",".127",".293",".248",".302",".376",".300","83","1.5","-112.8","51.6","13.5"
"White Sox","1817","6077","155","660","625","85","6.9 %","22.4 %",".146",".306",".253",".310",".398",".312","99","-13.1","-23.5","-52.9","12.6"
"Braves","1928","6064","123","573","545","95","7.8 %","22.6 %",".119",".298",".241",".305",".360",".296","86","-4.4","-98.9","29.2","12.5"
"Padres","2148","5905","109","535","500","91","7.9 %","21.9 %",".115",".277",".226",".292",".342",".283","82","-6.2","-128.7","58.7","11.9"
"Rangers","1801","6026","111","637","597","105","6.9 %","19.3 %",".119",".305",".256",".314",".375",".305","90","-1.8","-66.8","-14.7","11.8"
"Phillies","1987","6198","125","619","584","109","7.1 %","21.1 %",".121",".292",".242",".302",".363",".295","86","10.6","-85.5","3.0","11.5"
