"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","2016","6271","238","896","854","98","8.1 %","17.3 %",".196",".309",".282",".346",".478",".349","122","-0.4","167.9","-39.7","34.2"
"Dodgers","2204","6191","221","770","730","77","10.5 %","22.3 %",".188",".293",".249",".334",".437",".330","104","5.8","40.6","96.0","33.7"
"Yankees","1861","6354","241","858","821","90","9.7 %","21.8 %",".185",".304",".262",".339",".447",".336","108","11.1","70.3","-2.4","28.5"
"Marlins","2196","6248","194","778","743","91","7.8 %","20.5 %",".163",".313",".267",".331",".431",".325","102","1.4","13.7","61.0","27.7"
"Indians","1911","6234","212","818","780","88","9.7 %","18.5 %",".186",".295",".263",".339",".449",".336","105","11.1","49.7","5.4","26.8"
"Cubs","2279","6283","223","822","785","62","9.9 %","22.3 %",".182",".302",".255",".338",".437",".331","101","-6.8","4.2","57.4","26.5"
"Cardinals","2152","6219","196","761","728","81","9.5 %","21.7 %",".170",".304",".256",".334",".426",".326","100","2.0","-1.4","59.0","25.9"
"Twins","1734","6261","206","815","781","95","9.5 %","21.4 %",".174",".306",".260",".334",".434",".329","102","14.4","30.6","0.7","24.5"
"Nationals","1998","6214","215","819","796","108","8.7 %","21.4 %",".183",".311",".266",".332",".449",".331","99","11.9","5.0","33.7","24.0"
"Mets","2147","6169","224","735","713","58","8.6 %","20.9 %",".184",".286",".250",".320",".434",".322","101","-11.3","-4.3","36.7","23.2"
"Mariners","1878","6166","200","750","714","89","7.9 %","20.5 %",".165",".300",".259",".325",".424",".321","104","-12.6","15.0","-12.0","21.4"
"Rays","1818","6147","228","694","671","88","8.9 %","25.0 %",".178",".296",".245",".317",".422",".316","98","11.2","-5.2","6.7","21.2"
"Diamondbacks","2080","6224","220","812","776","103","9.3 %","23.4 %",".190",".306",".254",".329",".445",".329","95","12.4","-27.9","27.1","20.1"
"Angels","1828","6073","186","710","678","136","8.6 %","19.7 %",".155",".277",".243",".315",".397",".307","93","1.4","-54.6","44.3","19.8"
"Reds","2210","6213","219","753","715","120","9.1 %","21.4 %",".179",".294",".253",".329",".433",".325","95","-5.3","-43.5","33.6","19.1"
"Red Sox","1829","6338","168","785","735","106","9.0 %","19.3 %",".149",".300",".258",".329",".407",".316","91","4.9","-65.3","36.3","18.8"
"Braves","2025","6216","165","732","706","77","7.6 %","19.0 %",".150",".305",".263",".326",".412",".316","89","4.3","-82.3","54.9","17.4"
"Brewers","2076","6135","224","732","695","128","8.9 %","25.6 %",".180",".308",".249",".322",".429",".321","93","2.4","-50.6","24.3","17.3"
"Athletics","1784","6126","234","739","708","57","9.2 %","24.3 %",".190",".294",".246",".319",".436",".323","102","-5.5","12.0","-50.7","17.1"
"Tigers","1802","6150","187","735","699","65","8.2 %","21.3 %",".166",".306",".258",".324",".424",".321","98","-19.8","-31.5","-40.5","13.9"
"Orioles","1857","6140","232","743","713","32","6.4 %","23.0 %",".175",".306",".260",".312",".435",".318","97","-14.9","-41.6","-31.3","13.8"
"White Sox","1707","6059","186","706","670","71","6.6 %","23.1 %",".161",".309",".256",".314",".417",".313","95","-1.9","-41.4","-39.4","12.7"
"Rockies","1956","6201","192","824","793","59","8.4 %","22.7 %",".171",".332",".273",".338",".444",".332","87","-6.4","-111.5","23.3","11.3"
"Blue Jays","1933","6154","222","693","661","53","8.8 %","21.6 %",".172",".276",".240",".312",".412",".312","93","-15.8","-73.0","-26.1","11.2"
"Royals","1876","6027","193","702","660","91","6.5 %","19.3 %",".160",".295",".259",".311",".420",".312","91","2.5","-61.9","-35.9","10.9"
"Pirates","2082","6136","151","668","635","67","8.5 %","19.8 %",".142",".286",".244",".318",".386",".304","85","-2.2","-117.7","26.3","10.8"
"Phillies","2034","6133","174","690","654","59","8.1 %","23.1 %",".159",".304",".250",".315",".409",".310","88","-9.5","-102.0","9.8","10.7"
"Rangers","1797","6122","237","799","756","113","8.9 %","24.4 %",".186",".291",".244",".320",".430",".321","91","6.3","-58.5","-51.2","10.0"
"Giants","2068","6137","128","639","612","76","7.6 %","19.6 %",".132",".294",".249",".309",".380",".296","82","2.6","-142.9","40.5","9.7"
"Padres","2077","5954","189","604","576","89","7.7 %","25.2 %",".160",".287",".234",".299",".393",".298","82","6.7","-132.0","16.6","7.8"
