"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Blue Jays","1909","6231","232","891","852","88","9.1 %","18.5 %",".188",".298",".269",".340",".457",".344","117","11.0","135.9","5.0","36.5"
"Giants","2236","6153","136","696","663","93","7.4 %","18.8 %",".139",".313",".267",".326",".406",".318","104","-0.4","25.6","58.3","29.1"
"Dodgers","2085","6090","187","667","638","59","9.2 %","20.7 %",".163",".292",".250",".326",".413",".322","106","-15.3","28.2","51.2","28.4"
"Astros","1903","6073","230","729","691","121","8.0 %","22.9 %",".187",".292",".250",".315",".437",".325","108","8.1","66.8","-17.1","26.3"
"Cubs","2050","6200","171","689","657","95","9.1 %","24.5 %",".154",".305",".244",".321",".398",".313","96","15.1","-15.8","64.7","25.5"
"Mets","2075","6145","177","683","654","51","7.9 %","21.0 %",".156",".287",".244",".312",".400",".309","98","6.2","-6.8","51.0","24.9"
"Pirates","2134","6285","140","697","661","98","7.3 %","21.0 %",".136",".314",".260",".323",".396",".313","97","3.5","-17.4","49.3","24.0"
"Cardinals","2208","6139","137","647","619","69","8.2 %","20.6 %",".142",".303",".253",".321",".394",".311","97","0.9","-21.2","53.8","23.6"
"Royals","1763","6116","139","724","689","104","6.3 %","15.9 %",".144",".301",".269",".322",".412",".318","99","-0.3","-8.3","16.0","22.0"
"Diamondbacks","2134","6276","154","720","680","132","7.8 %","20.9 %",".150",".316",".264",".324",".414",".319","95","12.5","-23.3","33.7","21.7"
"Rangers","1840","6187","172","751","707","101","8.1 %","19.9 %",".156",".300",".257",".325",".413",".321","98","21.6","4.8","-2.9","21.6"
"Yankees","1972","6268","212","764","737","63","8.8 %","19.6 %",".170",".283",".251",".323",".421",".323","103","3.0","25.3","-37.2","20.5"
"Rays","1954","6071","167","644","612","87","7.2 %","21.6 %",".154",".300",".252",".314",".406",".313","100","-13.4","-16.2","3.1","19.6"
"Indians","1816","6109","141","669","640","86","8.7 %","18.9 %",".144",".299",".256",".325",".401",".315","97","8.1","-15.6","-3.3","19.2"
"Nationals","1903","6117","177","703","665","57","8.8 %","22.0 %",".151",".300",".251",".321",".403",".315","96","-2.3","-29.7","13.8","18.4"
"Red Sox","1800","6237","161","748","706","71","7.7 %","18.4 %",".149",".305",".265",".325",".415",".321","99","1.4","-5.9","-29.0","17.9"
"Angels","1918","5990","176","661","621","52","7.3 %","19.2 %",".150",".280",".246",".307",".396",".305","95","0.5","-37.0","5.3","17.4"
"Orioles","1783","6007","217","713","686","44","7.0 %","22.2 %",".171",".291",".250",".307",".421",".315","97","-4.9","-23.9","-8.4","17.4"
"Tigers","1862","6159","151","689","660","83","7.4 %","20.4 %",".150",".322",".270",".328",".420",".324","103","-27.6","-8.6","-30.7","17.2"
"Mariners","1900","6131","198","656","624","69","7.8 %","21.8 %",".162",".292",".249",".311",".411",".313","100","-23.1","-20.7","-18.2","17.1"
"Reds","2066","6196","167","640","613","134","8.0 %","20.3 %",".146",".290",".248",".312",".394",".307","91","10.9","-52.1","14.2","16.3"
"Padres","1958","6019","148","650","623","82","7.1 %","22.0 %",".142",".292",".243",".300",".385",".298","90","5.0","-63.2","29.5","16.2"
"Marlins","2002","5988","120","613","575","112","6.3 %","19.2 %",".124",".307",".260",".310",".384",".302","91","-1.2","-67.2","30.6","15.8"
"Brewers","2005","6024","145","655","624","84","6.8 %","21.6 %",".142",".303",".251",".307",".393",".304","87","1.5","-87.9","21.0","12.7"
"Twins","1855","6017","156","696","661","70","7.3 %","21.0 %",".152",".292",".247",".305",".399",".305","89","-5.5","-80.4","-1.0","12.2"
"Athletics","1852","6171","146","694","661","78","7.7 %","18.1 %",".144",".288",".251",".312",".395",".308","95","-1.0","-34.1","-60.6","11.3"
"Braves","1987","6034","100","573","548","69","7.8 %","18.3 %",".108",".297",".251",".314",".359",".296","84","-2.7","-115.5","23.0","10.0"
"Rockies","2060","6071","186","737","702","97","6.4 %","21.1 %",".167",".313",".265",".315",".432",".321","87","4.7","-91.9","-6.9","9.4"
"Phillies","2062","6053","130","626","586","88","6.4 %","21.0 %",".133",".299",".249",".303",".382",".298","86","-1.9","-100.3","-3.2","8.9"
"White Sox","1813","6070","136","622","595","68","6.7 %","20.3 %",".130",".296",".250",".306",".380",".300","89","-15.2","-94.3","-22.7","8.6"
